_id,Date,Temp Max,Temp Min
289,16-10-1951,32.65999985,24.93000031
290,17-10-1951,34.13000107,25.79000092
291,18-10-1951,34.33000183,25.29000092
292,19-10-1951,34.95000076,25.92000008
293,20-10-1951,34.29999924,25.76000023
294,21-10-1951,33.02999878,24.35000038
295,22-10-1951,32.47999954,23.70000076
296,23-10-1951,32.54999924,23.81999969
297,24-10-1951,33.63000107,23.80999947
298,25-10-1951,34.79000092,23.53000069
299,26-10-1951,33.72000122,23.79999924
300,27-10-1951,32.04000092,23.96999931
301,28-10-1951,30.86000061,24.09000015
302,29-10-1951,32.16999817,24.47999954
303,30-10-1951,31.15999985,23.97999954
304,31-10-1951,32.86999893,24.64999962
305,01-11-1951,31.87999916,24.29000092
306,02-11-1951,29.54999924,23.61000061
307,03-11-1951,30.20999908,23.60000038
308,04-11-1951,29.37999916,23.61000061
309,05-11-1951,31.93000031,24.54000092
310,06-11-1951,31.73999977,24.52000046
311,07-11-1951,29.45999908,23.67000008
312,08-11-1951,30.42000008,23.89999962
313,09-11-1951,29.46999931,23.85000038
314,10-11-1951,30.89999962,24.09000015
315,11-11-1951,30.84000015,23.05999947
316,12-11-1951,30.54999924,21.44000053
317,13-11-1951,29.96999931,21.32999992
318,14-11-1951,30.44000053,21.84000015
319,15-11-1951,30.68000031,22.06999969
320,16-11-1951,30.64999962,20.97999954
321,17-11-1951,30.23999977,22.05999947
322,18-11-1951,28.95000076,22.43000031
323,19-11-1951,26.23999977,22.90999985
324,20-11-1951,27.68000031,23.12999916
325,21-11-1951,28.82999992,23.53000069
326,22-11-1951,30.68000031,23.54999924
327,23-11-1951,30.37999916,22.64999962
328,24-11-1951,30.10000038,21.53000069
329,25-11-1951,29.95999908,22.32999992
330,26-11-1951,32.02000046,22.94000053
331,27-11-1951,31.71999931,23.88999939
332,28-11-1951,30.89999962,23.76000023
333,29-11-1951,30.62000084,22.84000015
334,30-11-1951,28.53000069,21.82999992
335,01-12-1951,29.22999954,20.79000092
336,02-12-1951,29.36000061,20.20000076
337,03-12-1951,28.96999931,19.53000069
338,04-12-1951,28.73999977,19.11000061
339,05-12-1951,28.70999908,19.17000008
340,06-12-1951,28.96999931,19.31999969
341,07-12-1951,28.97999954,17.97999954
342,08-12-1951,29.78000069,21.02000046
343,09-12-1951,30.11000061,19.85000038
344,10-12-1951,30.09000015,19.57999992
345,11-12-1951,30.59000015,18.19000053
346,12-12-1951,31.93000031,20.06999969
347,13-12-1951,31.90999985,20.25
348,14-12-1951,31.46999931,22.37999916
349,15-12-1951,31.22999954,22.56999969
350,16-12-1951,30.34000015,22.73999977
351,17-12-1951,30.07999992,21.84000015
352,18-12-1951,29.93000031,21.04999924
353,19-12-1951,29.63999939,19.07999992
354,20-12-1951,28.87999916,18.44000053
355,21-12-1951,29.30999947,18.77000046
356,22-12-1951,28.87000084,18.09000015
357,23-12-1951,28.64999962,17.92000008
358,24-12-1951,28.43000031,17.89999962
359,25-12-1951,28.23999977,19.12000084
360,26-12-1951,29.04000092,20.20999908
361,27-12-1951,29.11000061,20.45000076
362,28-12-1951,29.01000023,20.31999969
363,29-12-1951,29.01000023,20.04999924
364,30-12-1951,29.14999962,20.10000038
365,31-12-1951,29.17000008,20.03000069
366,01-01-1952,29.09000015,19.72999954
367,02-01-1952,29.10000038,19.69000053
368,03-01-1952,29.22999954,19.85000038
369,04-01-1952,29.10000038,19.69000053
370,05-01-1952,29.01000023,19.75
371,06-01-1952,29.13999939,19.67000008
372,07-01-1952,29.11000061,19.87999916
373,08-01-1952,29.65999985,21.13999939
374,09-01-1952,29.98999977,20.63999939
375,10-01-1952,30.07999992,19.5
376,11-01-1952,29.79000092,18.77000046
377,12-01-1952,30.05999947,18.61000061
378,13-01-1952,31.03000069,19.18000031
379,14-01-1952,30.93000031,19.06999969
380,15-01-1952,30.65999985,17.90999985
381,16-01-1952,30.95000076,18.02000046
382,17-01-1952,30.52000046,18.14999962
383,18-01-1952,30.37000084,18.15999985
384,19-01-1952,29.94000053,18.69000053
385,20-01-1952,29.37000084,17.47999954
386,21-01-1952,29.62000084,17.61000061
387,22-01-1952,29.57999992,17.69000053
388,23-01-1952,29.88999939,19.17000008
389,24-01-1952,30.10000038,21.04999924
390,25-01-1952,29.90999985,20.71999931
391,26-01-1952,29.52000046,19.38999939
392,27-01-1952,29.37000084,18.36000061
393,28-01-1952,29.29999924,19.13999939
394,29-01-1952,28.01000023,20.73999977
395,30-01-1952,29.12000084,21.47999954
396,31-01-1952,29.65999985,21.87999916
397,01-02-1952,29.84000015,20.01000023
398,02-02-1952,29.90999985,20.09000015
399,03-02-1952,29.21999931,21.19000053
400,04-02-1952,29.35000038,20.11000061
401,05-02-1952,31.12000084,21.07999992
402,06-02-1952,31.65999985,22.12999916
403,07-02-1952,31.5,22.81999969
404,08-02-1952,31.18000031,22.93000031
405,09-02-1952,31.12000084,21.40999985
406,10-02-1952,31.44000053,22.03000069
407,11-02-1952,31.92000008,21.04999924
408,12-02-1952,31.38999939,20.52000046
409,13-02-1952,31.75,20.35000038
410,14-02-1952,31.95000076,21.39999962
411,15-02-1952,33.24000168,18.68000031
412,16-02-1952,32.20999908,19.10000038
413,17-02-1952,31.64999962,18.27000046
414,18-02-1952,32.49000168,18.88999939
415,19-02-1952,32.97999954,19.95000076
416,20-02-1952,32.13999939,22.78000069
417,21-02-1952,32.04000092,24.02000046
418,22-02-1952,30.81999969,24.12000084
419,23-02-1952,30.88999939,24.03000069
420,24-02-1952,31.69000053,23.76000023
421,25-02-1952,31.45999908,23.63999939
422,26-02-1952,31.36000061,22.29000092
423,27-02-1952,32.40999985,18.70999908
424,28-02-1952,31.75,18.88999939
425,29-02-1952,31.5,19.5
426,01-03-1952,31.59000015,20.44000053
427,02-03-1952,32.27999878,22.85000038
428,03-03-1952,33.02999878,22.26000023
429,04-03-1952,33.77999878,22.27000046
430,05-03-1952,33.20000076,21.20000076
431,06-03-1952,33.25999832,20.57999992
432,07-03-1952,34.04000092,20.94000053
433,08-03-1952,34.22999954,19.38999939
434,09-03-1952,33.65000153,20.79999924
435,10-03-1952,33.95999908,22
436,11-03-1952,34.50999832,22.52000046
437,12-03-1952,35.29000092,22.52000046
438,13-03-1952,33.63000107,23.04999924
439,14-03-1952,33.75999832,24.44000053
440,15-03-1952,34.40999985,24.81999969
441,16-03-1952,33.91999817,25.26000023
442,17-03-1952,34.31999969,24.47999954
443,18-03-1952,34.93999863,24.77000046
444,19-03-1952,34.52999878,24.82999992
445,20-03-1952,33.72999954,23.87000084
446,21-03-1952,33.33000183,22.40999985
447,22-03-1952,33.25999832,21.12000084
448,23-03-1952,33.16999817,21.92000008
449,24-03-1952,33.63000107,23.37999916
450,25-03-1952,34.06000137,25.06999969
451,26-03-1952,35.13999939,25.59000015
452,27-03-1952,34.75999832,24.12999916
453,28-03-1952,33.74000168,24.40999985
454,29-03-1952,34.33000183,22.45000076
455,30-03-1952,34.61999893,23.60000038
456,31-03-1952,34.81000137,24.70999908
457,01-04-1952,36.18000031,26.04000092
458,02-04-1952,34.65999985,25.22999954
459,03-04-1952,35.27999878,26.15999985
460,04-04-1952,35.43000031,27.13999939
461,05-04-1952,34.49000168,26.95999908
462,06-04-1952,35.11000061,25.89999962
463,07-04-1952,34.88000107,25.45000076
464,08-04-1952,35.88999939,26.05999947
465,09-04-1952,35.97000122,25.46999931
466,10-04-1952,35.68000031,25.87999916
467,11-04-1952,36.47000122,26.92000008
468,12-04-1952,36.22999954,27.51000023
469,13-04-1952,35.77000046,26.75
470,14-04-1952,35.65000153,26.12999916
471,15-04-1952,35.63000107,25.20999908
472,16-04-1952,35.36999893,24.92000008
473,17-04-1952,35.25,24.70000076
474,18-04-1952,34.90000153,24.95000076
475,19-04-1952,35.40000153,25.89999962
476,20-04-1952,34.81000137,26.45999908
477,21-04-1952,35.15999985,26.81999969
478,22-04-1952,36.22999954,26.39999962
479,23-04-1952,36.63999939,27.70000076
480,24-04-1952,37.41999817,27.51000023
481,25-04-1952,37.47000122,28.13999939
482,26-04-1952,37.52000046,27.34000015
483,27-04-1952,36.86999893,27.82999992
484,28-04-1952,37.38999939,27.92000008
485,29-04-1952,38.06999969,28.29000092
486,30-04-1952,38.93999863,28.05999947
487,01-05-1952,39.40999985,28.95999908
488,02-05-1952,39.02999878,28.09000015
489,03-05-1952,38.83000183,28.10000038
490,04-05-1952,39.45000076,27.88999939
491,05-05-1952,39.06000137,28.82999992
492,06-05-1952,38.77999878,27.55999947
493,07-05-1952,38.15999985,27.96999931
494,08-05-1952,39.29999924,27.73999977
495,09-05-1952,38.79000092,28.11000061
496,10-05-1952,39.45000076,28.30999947
497,11-05-1952,38.40000153,28.03000069
498,12-05-1952,38.86999893,28.73999977
499,13-05-1952,39.36000061,28.06999969
500,14-05-1952,39.91999817,28.44000053
501,15-05-1952,41.11999893,28.36000061
502,16-05-1952,41.36000061,29.29000092
503,17-05-1952,40.81999969,28.82999992
504,18-05-1952,41.25,29.69000053
505,19-05-1952,40.91999817,26.92000008
506,20-05-1952,35.86999893,28.40999985
507,21-05-1952,34.70000076,25.55999947
508,22-05-1952,29.12000084,24.39999962
509,23-05-1952,29.57999992,24.01000023
510,24-05-1952,31.55999947,24.94000053
511,25-05-1952,33.70999908,25.26000023
512,26-05-1952,32.27999878,25.54999924
513,27-05-1952,36.02999878,27.06999969
514,28-05-1952,36.33000183,26.84000015
515,29-05-1952,34.58000183,26.23999977
516,30-05-1952,36.06999969,27.19000053
517,31-05-1952,37.40000153,27.54999924
518,01-06-1952,38.81999969,28.10000038
519,02-06-1952,39.04999924,27.57999992
520,03-06-1952,38.77999878,27.27000046
521,04-06-1952,38.25,26.37999916
522,05-06-1952,37.63000107,26.54999924
523,06-06-1952,36.47000122,26.18000031
524,07-06-1952,37.40999985,27.20000076
525,08-06-1952,38.58000183,27.85000038
526,09-06-1952,38.88999939,26.54000092
527,10-06-1952,37.31000137,27.05999947
528,11-06-1952,38.16999817,27.61000061
529,12-06-1952,38.72999954,27.84000015
530,13-06-1952,38.88000107,28.20000076
531,14-06-1952,38.31999969,27.63999939
532,15-06-1952,38.25,27.70999908
533,16-06-1952,37.75999832,28.05999947
534,17-06-1952,38.13000107,27.04999924
535,18-06-1952,37.77999878,26.5
536,19-06-1952,37.56999969,27.07999992
537,20-06-1952,37.02000046,27.39999962
538,21-06-1952,36.16999817,26.65999985
539,22-06-1952,36.24000168,26.64999962
540,23-06-1952,35.95000076,26.45000076
541,24-06-1952,36.63000107,26.37999916
542,25-06-1952,36.63999939,26.19000053
543,26-06-1952,35.36999893,26.87000084
544,27-06-1952,36.43999863,26.76000023
545,28-06-1952,37.11000061,26.38999939
546,29-06-1952,36.56000137,27.31999969
547,30-06-1952,36.58000183,27.20000076
548,01-07-1952,36.88999939,27.04999924
549,02-07-1952,37.02999878,26.70999908
550,03-07-1952,36.79999924,27.34000015
551,04-07-1952,36.54999924,25.95000076
552,05-07-1952,37.16999817,26.59000015
553,06-07-1952,37.40000153,26.46999931
554,07-07-1952,38.00999832,26.28000069
